id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_001_CA_1,0.602586324,1.117793502,1.338966362
HOBBIES_1_002_CA_1,0.558915568,0.395815524,0.522541064
HOBBIES_1_003_CA_1,0.426096876,0.702502774,1.212913845
HOBBIES_1_004_CA_1,1.88305933,1.809220894,0.680731187
HOBBIES_1_005_CA_1,1.243941779,1.288335096,0.807981711
HOBBIES_1_006_CA_1,1.475223153,1.170634854,0.571746263
HOBBIES_1_007_CA_1,0.484141536,0.558668598,0.81650795
HOBBIES_1_008_CA_1,8.737478888,10.23895801,0.865658455
HOBBIES_1_009_CA_1,1.940233348,1.934635814,0.690533816
HOBBIES_1_010_CA_1,0.904901267,0.861071874,0.690471954
HOBBIES_1_011_CA_1,0.28553919,0.211767435,0.537908244
HOBBIES_1_012_CA_1,0.643309875,0.379202559,0.418066973
HOBBIES_1_013_CA_1,0.544262995,0.69791347,0.914199248
HOBBIES_1_014_CA_1,1.464571695,1.4078941,0.657207971
HOBBIES_1_015_CA_1,7.125553959,2.699971593,0.274759965
HOBBIES_1_016_CA_1,7.7231099,6.153794614,0.55495759
HOBBIES_1_017_CA_1,1.412425567,1.775280825,0.9452079
HOBBIES_1_018_CA_1,0.230969755,0.031407563,0.098383909
HOBBIES_1_019_CA_1,6.651150692,9.896626474,1.075139778
HOBBIES_1_020_CA_1,0.612205104,0.413646627,0.487933464
HOBBIES_1_021_CA_1,0.946688613,0.938651461,0.733528894
HOBBIES_1_022_CA_1,0.611750177,0.756034372,0.885296247
HOBBIES_1_023_CA_1,1.193384358,1.38511096,0.852199342
HOBBIES_1_024_CA_1,0.581754317,0.415036074,0.494714379
HOBBIES_1_025_CA_1,0.909678732,0.767252415,0.606908662
HOBBIES_1_026_CA_1,0.0989148,0.434802444,3.102641259
HOBBIES_1_027_CA_1,0.499236843,0.635295083,0.926401143
HOBBIES_1_028_CA_1,0.892346161,0.605044771,0.492971447
HOBBIES_1_029_CA_1,1.449450777,1.654069137,0.815641475
HOBBIES_1_030_CA_1,4.078008608,7.480726433,1.319717419
HOBBIES_1_031_CA_1,0.609783328,0.448369661,0.518651144
HOBBIES_1_032_CA_1,8.248515218,3.67562495,0.31608097
HOBBIES_1_033_CA_1,0.436941401,0.453283183,0.712742359
HOBBIES_1_034_CA_1,0.830394898,0.778169729,0.664974404
HOBBIES_1_035_CA_1,0.406493865,0.461478922,0.815030477
HOBBIES_1_036_CA_1,1.137468018,1.696483792,1.051942796
HOBBIES_1_037_CA_1,0.909493806,0.759035501,0.588602823
HOBBIES_1_038_CA_1,0.660623903,0.965349547,1.052803833
HOBBIES_1_039_CA_1,0.345569802,0.383065444,0.798120673
HOBBIES_1_040_CA_1,0.818360363,1.076471893,0.963439582
HOBBIES_1_041_CA_1,0.59044388,0.566965138,0.701403257
HOBBIES_1_042_CA_1,0.850544852,0.866695047,0.718673254
HOBBIES_1_043_CA_1,5.08356174,2.227070805,0.309300442
HOBBIES_1_044_CA_1,1.119967544,1.194530781,0.808459818
HOBBIES_1_045_CA_1,0.430128174,0.629499245,1.038682025
HOBBIES_1_046_CA_1,0.401679973,0.813424343,1.408892291
HOBBIES_1_047_CA_1,1.820806091,2.468124254,0.94450133
HOBBIES_1_048_CA_1,8.182831987,12.9069732,1.112918255
HOBBIES_1_049_CA_1,0.580745058,0.688444128,0.848590776
HOBBIES_1_050_CA_1,0.996126494,2.221855651,1.617243497
HOBBIES_1_051_CA_1,0.382456273,0.389349622,0.701723805
HOBBIES_1_052_CA_1,0.277896277,0.425110417,1.098797448
HOBBIES_1_053_CA_1,0.400919337,1.119683797,2.000828372
HOBBIES_1_054_CA_1,0.332475269,0.407156421,0.851261717
HOBBIES_1_055_CA_1,1.693492804,1.787961489,0.774132996
HOBBIES_1_056_CA_1,1.236757828,1.423821122,0.891835596
HOBBIES_1_057_CA_1,0.863428059,0.702675871,0.604458223
HOBBIES_1_058_CA_1,0.765262257,0.717628427,0.69668055
HOBBIES_1_060_CA_1,0.433660542,0.775115234,1.248643359
HOBBIES_1_061_CA_1,0.636131957,0.25850191,0.288268965
HOBBIES_1_062_CA_1,0.293540947,0.481672161,1.140571084
HOBBIES_1_063_CA_1,0.439434877,0.349660914,0.572006822
HOBBIES_1_064_CA_1,1.359038327,1.661451521,0.89572276
HOBBIES_1_065_CA_1,0.305108622,0.257618985,0.60114642
HOBBIES_1_066_CA_1,1.028430637,1.396754724,0.963901057
HOBBIES_1_067_CA_1,7.988003022,4.560583291,0.407459641
HOBBIES_1_068_CA_1,1.16362817,0.924802049,0.540036472
HOBBIES_1_069_CA_1,0.661086709,0.575534828,0.609477136
HOBBIES_1_070_CA_1,0.315529226,0.311214118,0.694790448
HOBBIES_1_072_CA_1,0.892537417,0.99254183,0.833433669
HOBBIES_1_073_CA_1,0.632951099,0.684337746,0.763897429
HOBBIES_1_074_CA_1,1.571293163,1.164730665,0.521825964
HOBBIES_1_075_CA_1,0.892928059,0.726755079,0.564020842
HOBBIES_1_076_CA_1,1.06695187,0.940508929,0.638559034
HOBBIES_1_077_CA_1,0.510516482,0.860281375,1.227087343
HOBBIES_1_078_CA_1,1.934529601,1.824174512,0.69260505
HOBBIES_1_079_CA_1,1.328521649,0.741017778,0.399005813
HOBBIES_1_080_CA_1,6.43487045,2.557848451,0.287824916
HOBBIES_1_081_CA_1,0.828731617,0.777661193,0.684743219
HOBBIES_1_082_CA_1,0.416980992,0.311205476,0.533946437
HOBBIES_1_083_CA_1,0.4223618,0.813569472,1.398056599
HOBBIES_1_084_CA_1,1.002196783,0.884530916,0.661164738
HOBBIES_1_085_CA_1,1.082662746,1.445690581,1.007265547
HOBBIES_1_086_CA_1,1.180033697,1.060555789,0.641835136
HOBBIES_1_087_CA_1,0.786115272,0.462875786,0.422995127
HOBBIES_1_088_CA_1,0.959303849,1.20151198,0.901178829
HOBBIES_1_089_CA_1,1.461451702,1.597553873,0.814660701
HOBBIES_1_090_CA_1,3.983068414,7.643337193,1.361684589
HOBBIES_1_091_CA_1,1.229923523,2.444968384,1.494852798
HOBBIES_1_092_CA_1,0.499969117,0.205696469,0.296621883
HOBBIES_1_093_CA_1,0.433574491,0.438750592,0.698656586
HOBBIES_1_094_CA_1,0.684921358,0.344235235,0.36628498
HOBBIES_1_095_CA_1,0.405876734,0.018599727,0.032795233
HOBBIES_1_097_CA_1,0.765306636,0.43645305,0.410669236
HOBBIES_1_098_CA_1,0.692672886,0.711926457,0.73304708
HOBBIES_1_099_CA_1,1.080042725,1.060804003,0.74053344
HOBBIES_1_100_CA_1,0.891275591,0.872365699,0.703379715
HOBBIES_1_102_CA_1,0.348115252,0.315168008,0.631006229
HOBBIES_1_103_CA_1,5.176903647,2.865395496,0.399515841
HOBBIES_1_104_CA_1,0.308686771,0.535481003,1.209960894
HOBBIES_1_105_CA_1,1.054637505,0.657142541,0.435788034
HOBBIES_1_106_CA_1,0.643658753,0.949415685,1.06154944
HOBBIES_1_107_CA_1,0.287254253,0.475363722,1.20746641
HOBBIES_1_108_CA_1,1.232815235,1.175498708,0.687551236
HOBBIES_1_109_CA_1,0.67446976,0.814322305,0.855249535
HOBBIES_1_110_CA_1,0.486086411,0.442767264,0.639900846
HOBBIES_1_111_CA_1,1.0758709,0.722984254,0.491110928
HOBBIES_1_112_CA_1,0.358190423,0.424740425,0.850384073
HOBBIES_1_113_CA_1,0.385213894,0.467130842,0.86931974
HOBBIES_1_114_CA_1,0.521967871,0.298424944,0.41590075
HOBBIES_1_115_CA_1,1.408568496,0.954258148,0.49059428
HOBBIES_1_116_CA_1,0.588353759,1.00905858,1.304074128
HOBBIES_1_117_CA_1,0.459706365,0.32589433,0.492183704
HOBBIES_1_118_CA_1,0.398583485,0.67436952,1.179364432
HOBBIES_1_119_CA_1,1.105887368,2.009848399,1.306280128
