id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_001_CA_1,0.667240051,1.208912653,1.448114857
HOBBIES_1_002_CA_1,0.596308726,0.440457239,0.581475411
HOBBIES_1_003_CA_1,0.481006832,0.825597294,1.425444034
HOBBIES_1_004_CA_1,2.012453673,1.915600805,0.720757324
HOBBIES_1_005_CA_1,1.318017344,1.271743043,0.797575974
HOBBIES_1_006_CA_1,1.575672732,1.179047779,0.575855195
HOBBIES_1_007_CA_1,0.513442521,0.56632512,0.827698145
HOBBIES_1_008_CA_1,9.55892431,10.60129295,0.896292266
HOBBIES_1_009_CA_1,2.137633321,2.025443455,0.722945988
HOBBIES_1_010_CA_1,0.941417436,0.872542048,0.699669599
HOBBIES_1_011_CA_1,0.292718364,0.202928622,0.515456866
HOBBIES_1_012_CA_1,0.647547779,0.462832584,0.510268226
HOBBIES_1_013_CA_1,0.564135185,0.741258794,0.970977436
HOBBIES_1_014_CA_1,1.633516333,1.372545183,0.640707022
HOBBIES_1_015_CA_1,7.417224991,4.673773276,0.47562196
HOBBIES_1_016_CA_1,7.729268073,6.24011103,0.562741722
HOBBIES_1_017_CA_1,1.487641305,1.748351151,0.930869808
HOBBIES_1_018_CA_1,0.249307878,0.12025407,0.376694793
HOBBIES_1_019_CA_1,7.424151749,9.719400419,1.055886472
HOBBIES_1_020_CA_1,0.627657429,0.471210407,0.555835128
HOBBIES_1_021_CA_1,1.094453788,1.000009509,0.781478429
HOBBIES_1_022_CA_1,0.642392108,0.738629079,0.86491511
HOBBIES_1_023_CA_1,1.331994271,1.492537035,0.918293996
HOBBIES_1_024_CA_1,0.634313321,0.51387173,0.612524428
HOBBIES_1_025_CA_1,0.950500507,0.775986818,0.61381771
HOBBIES_1_026_CA_1,0.154588119,0.444646074,3.17288294
HOBBIES_1_027_CA_1,0.539778753,0.640716389,0.93430661
HOBBIES_1_028_CA_1,0.95955004,0.624276389,0.508640764
HOBBIES_1_029_CA_1,1.505058316,1.677408047,0.827150174
HOBBIES_1_030_CA_1,4.590854557,7.986975676,1.409027722
HOBBIES_1_031_CA_1,0.615714234,0.430394586,0.497858494
HOBBIES_1_032_CA_1,8.447065146,3.72556889,0.320375839
HOBBIES_1_033_CA_1,0.472094258,0.39653668,0.623514173
HOBBIES_1_034_CA_1,0.870234353,0.810100088,0.69226006
HOBBIES_1_035_CA_1,0.442773069,0.437646969,0.772940217
HOBBIES_1_036_CA_1,1.156469738,1.665982149,1.033029569
HOBBIES_1_037_CA_1,0.990529898,0.801995092,0.621916333
HOBBIES_1_038_CA_1,0.659614719,0.956966513,1.043661352
HOBBIES_1_039_CA_1,0.366756456,0.392482532,0.817741272
HOBBIES_1_040_CA_1,0.926755767,1.144646545,1.024455721
HOBBIES_1_041_CA_1,0.605051093,0.584307937,0.722858361
HOBBIES_1_042_CA_1,0.888165895,0.876451631,0.726763522
HOBBIES_1_043_CA_1,5.605050386,4.278053678,0.594145409
HOBBIES_1_044_CA_1,1.177720125,1.348558412,0.912705898
HOBBIES_1_045_CA_1,0.461938214,0.583318928,0.962483894
HOBBIES_1_046_CA_1,0.479971084,1.008323916,1.746468253
HOBBIES_1_047_CA_1,2.023411691,2.471338464,0.945731343
HOBBIES_1_048_CA_1,9.356312559,14.15852106,1.220834374
HOBBIES_1_049_CA_1,0.606820047,0.685742819,0.845261086
HOBBIES_1_050_CA_1,1.037632931,2.209260988,1.608076098
HOBBIES_1_051_CA_1,0.42103615,0.421023502,0.758809557
HOBBIES_1_052_CA_1,0.299582396,0.414436033,1.071207003
HOBBIES_1_053_CA_1,0.427183282,1.147158228,2.049924037
HOBBIES_1_054_CA_1,0.351664526,0.260922866,0.545524116
HOBBIES_1_055_CA_1,1.754115439,1.789600125,0.774842475
HOBBIES_1_056_CA_1,1.459643768,1.414590028,0.886053537
HOBBIES_1_057_CA_1,0.981859135,0.699310501,0.601563253
HOBBIES_1_058_CA_1,0.767209655,0.736930387,0.715419077
HOBBIES_1_060_CA_1,0.464676547,0.808619901,1.302616468
HOBBIES_1_061_CA_1,0.648868113,0.40290424,0.449299537
HOBBIES_1_062_CA_1,0.302255295,0.474475562,1.123529965
HOBBIES_1_063_CA_1,0.460105612,0.379120748,0.620199873
HOBBIES_1_064_CA_1,1.427986025,1.64547053,0.887107078
HOBBIES_1_065_CA_1,0.335514624,0.299858487,0.69971107
HOBBIES_1_066_CA_1,1.320997209,1.776465109,1.225939363
HOBBIES_1_067_CA_1,8.15626477,5.200082277,0.464594882
HOBBIES_1_068_CA_1,1.198849825,0.980695731,0.572675486
HOBBIES_1_069_CA_1,0.692401915,0.554265889,0.586953856
HOBBIES_1_070_CA_1,0.333764701,0.322667041,0.72035928
HOBBIES_1_072_CA_1,0.932267981,0.995632964,0.836029283
HOBBIES_1_073_CA_1,0.646333449,0.682021802,0.761312239
HOBBIES_1_074_CA_1,1.79861042,1.385104364,0.620558419
HOBBIES_1_075_CA_1,0.957688531,0.885591766,0.687290984
HOBBIES_1_076_CA_1,1.146265858,0.975650519,0.662418435
HOBBIES_1_077_CA_1,0.579399642,0.835327517,1.191493682
HOBBIES_1_078_CA_1,1.987121242,1.844504946,0.700324136
HOBBIES_1_079_CA_1,1.344317515,0.852568616,0.459071083
HOBBIES_1_080_CA_1,6.783379819,4.261115727,0.479487077
HOBBIES_1_081_CA_1,0.949638595,0.770283756,0.678247266
