id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_001_CA_1,0.779394775,1.126778784,1.349729522
HOBBIES_1_002_CA_1,0.813716882,0.784985335,1.036308704
HOBBIES_1_003_CA_1,0.818980923,0.755612117,1.304610362
HOBBIES_1_004_CA_1,2.323369727,2.180702548,0.820503587
HOBBIES_1_005_CA_1,1.520087962,1.329872862,0.834032197
HOBBIES_1_006_CA_1,1.743373158,1.42856688,0.697722072
HOBBIES_1_007_CA_1,0.55014484,0.562002505,0.821380537
HOBBIES_1_008_CA_1,12.58801378,12.92387506,1.092656275
HOBBIES_1_009_CA_1,2.695066834,2.634929494,0.94049118
HOBBIES_1_010_CA_1,1.026322059,0.96481112,0.773657855
HOBBIES_1_011_CA_1,0.417982221,0.385451214,0.979080591
HOBBIES_1_012_CA_1,0.67578662,0.533204124,0.587852135
HOBBIES_1_013_CA_1,0.726334588,0.731254258,0.95787246
HOBBIES_1_014_CA_1,2.066395137,1.75756612,0.820435617
HOBBIES_1_015_CA_1,10.62819786,10.4900993,1.067514682
HOBBIES_1_016_CA_1,13.03514844,11.91936526,1.074904613
HOBBIES_1_017_CA_1,1.775205563,1.874468184,0.998017954
HOBBIES_1_018_CA_1,0.418002859,0.378433764,1.185440368
HOBBIES_1_019_CA_1,9.821115101,9.12575147,0.991394233
HOBBIES_1_020_CA_1,0.715552968,0.611342526,0.721133588
HOBBIES_1_021_CA_1,1.387181348,1.348463492,1.053785111
HOBBIES_1_022_CA_1,0.734716354,0.789240098,0.924179274
HOBBIES_1_023_CA_1,1.505036897,1.485383954,0.913893013
HOBBIES_1_024_CA_1,0.740055621,0.656937996,0.783056445
HOBBIES_1_025_CA_1,1.072645939,0.851774804,0.673767194
HOBBIES_1_026_CA_1,0.329619817,0.452682551,3.23022922
HOBBIES_1_027_CA_1,0.750280126,0.722824344,1.054038221
HOBBIES_1_028_CA_1,1.029382598,0.679126504,0.553330913
HOBBIES_1_029_CA_1,1.74603172,1.823782593,0.899329231
HOBBIES_1_030_CA_1,6.294252528,7.654757988,1.350419313
HOBBIES_1_031_CA_1,0.717268529,0.634623786,0.734100412
HOBBIES_1_032_CA_1,10.14560984,8.34459384,0.717583363
HOBBIES_1_033_CA_1,0.631305807,0.56901148,0.894713504
HOBBIES_1_034_CA_1,1.175553747,1.082871747,0.925353387
HOBBIES_1_035_CA_1,0.559224651,0.525417193,0.927953597
HOBBIES_1_036_CA_1,1.731416036,1.952274876,1.210551791
HOBBIES_1_037_CA_1,1.089998678,0.870954631,0.675391801
HOBBIES_1_038_CA_1,0.752482485,0.959857065,1.046813769
HOBBIES_1_039_CA_1,0.465720545,0.456188901,0.950474126
HOBBIES_1_040_CA_1,1.054318752,1.07554311,0.962608325
HOBBIES_1_041_CA_1,0.631818793,0.618607987,0.765291598
HOBBIES_1_042_CA_1,1.150091683,1.084646138,0.899400743
HOBBIES_1_043_CA_1,6.616229793,5.879439207,0.816549318
HOBBIES_1_044_CA_1,1.316119723,1.504485878,1.018237788
HOBBIES_1_045_CA_1,0.6920209,0.708349427,1.16878586
HOBBIES_1_046_CA_1,0.679177053,0.837358804,1.450347993
HOBBIES_1_047_CA_1,2.829917692,3.16899529,1.212710527
HOBBIES_1_048_CA_1,11.04443343,12.99642376,1.12063123
HOBBIES_1_049_CA_1,0.69453496,0.711891853,0.877492937
HOBBIES_1_050_CA_1,1.157810218,2.087246765,1.519264429
HOBBIES_1_051_CA_1,0.552483527,0.519988892,0.93717462
HOBBIES_1_052_CA_1,0.632475822,0.604756612,1.56313512
HOBBIES_1_053_CA_1,0.831191563,1.27404665,2.276668368
HOBBIES_1_054_CA_1,0.544800464,0.506221124,1.058381104
HOBBIES_1_055_CA_1,1.861953645,1.771771311,0.76712314
HOBBIES_1_056_CA_1,1.859138314,1.603427635,1.004335319
HOBBIES_1_057_CA_1,1.151978907,0.846017353,0.727763919
HOBBIES_1_058_CA_1,0.94597763,0.945251561,0.917659268
HOBBIES_1_060_CA_1,0.522822205,0.774568935,1.247763318
HOBBIES_1_061_CA_1,0.776203707,0.657259425,0.732944272
HOBBIES_1_062_CA_1,0.376867886,0.488100259,1.155792439
HOBBIES_1_063_CA_1,0.60107858,0.561120844,0.917932024
HOBBIES_1_064_CA_1,1.509092351,1.633446586,0.880624722
HOBBIES_1_065_CA_1,0.41361626,0.391268057,0.913012646
HOBBIES_1_066_CA_1,3.196681753,3.012399477,2.078858221
HOBBIES_1_067_CA_1,10.93476368,9.627636653,0.86016922
HOBBIES_1_068_CA_1,1.275268125,1.124516644,0.656659446
HOBBIES_1_069_CA_1,0.780652381,0.693976201,0.734903618
HOBBIES_1_070_CA_1,0.459702315,0.441356497,0.985335371
HOBBIES_1_072_CA_1,1.108117873,1.047894793,0.879913345
HOBBIES_1_073_CA_1,0.671699904,0.690434026,0.770702451
HOBBIES_1_074_CA_1,2.073831229,1.754569586,0.786087284
HOBBIES_1_075_CA_1,1.141637864,1.116209044,0.866268682
HOBBIES_1_076_CA_1,1.568648989,1.393822893,0.946336789
HOBBIES_1_077_CA_1,0.752018982,0.842838083,1.202206596
HOBBIES_1_078_CA_1,2.172396511,2.049937371,0.778322998
HOBBIES_1_079_CA_1,1.526684201,1.343745835,0.723548632
HOBBIES_1_080_CA_1,8.999066852,8.204575557,0.923229549
HOBBIES_1_081_CA_1,1.109172841,0.798959953,0.70349712
HOBBIES_1_082_CA_1,0.574431451,0.509626378,0.874384319
HOBBIES_1_083_CA_1,0.569357715,0.821203309,1.411174762
HOBBIES_1_084_CA_1,1.132046439,0.861676126,0.644081354
HOBBIES_1_085_CA_1,1.41899,1.432187022,0.997857123
HOBBIES_1_086_CA_1,1.30471505,1.159964207,0.701995871
HOBBIES_1_087_CA_1,0.99826437,0.801435427,0.732384995
HOBBIES_1_088_CA_1,1.145494344,1.362208816,1.021707455
HOBBIES_1_089_CA_1,1.753187072,1.669612872,0.851406651
HOBBIES_1_090_CA_1,5.625103526,7.649676291,1.36281392
HOBBIES_1_091_CA_1,2.856231334,2.782988086,1.701517923
HOBBIES_1_092_CA_1,0.661265678,0.611776615,0.882204406
HOBBIES_1_093_CA_1,0.519500646,0.484828592,0.772030159
HOBBIES_1_094_CA_1,0.849153469,0.737600597,0.784847082
HOBBIES_1_095_CA_1,0.487429804,0.363009185,0.640061567
HOBBIES_1_097_CA_1,0.808377535,0.680832527,0.6406118
HOBBIES_1_098_CA_1,0.794392036,0.704562522,0.72546468
HOBBIES_1_099_CA_1,1.512344035,1.22248411,0.853400214
HOBBIES_1_100_CA_1,0.989423473,0.939746566,0.757708233
HOBBIES_1_102_CA_1,0.405144499,0.362550051,0.725871075
HOBBIES_1_103_CA_1,6.242926328,5.300833225,0.739083609
